geneIDs	disperRaw	disperRawConverge	disperFitted	disperAdj	disperAdjConverge	pval	padj	TEctl	TEtrt	log2FoldChangeTE	RiboCon1	RiboCon2	RiboSil1	RiboSil3	TotalCon1	TotalCon2	TotalCon3	TotalSil1	TotalSil2	TotalSil3
ENSG00000168028.8	9.9286339117e-05	Y	0.00126281347516	0.000663415406647	Y	0.0	0.0	0.00126084665086	0.00240711740651	0.932913690517	185.0	167.0	372.0	312.0	140155.0	140161.0	138583.0	140365.0	143997.0	142111.0
ENSG00000127152.13	0.000330510463751	Y	0.00127038704835	0.000751073791588	Y	0.0	0.0	0.0127204558094	0.0054688931703	-1.21782958154	306.0	315.0	157.0	166.0	23721.0	24975.0	24552.0	29446.0	29862.0	29403.0
ENSG00000172534.9	0.00118379949541	Y	0.00122230816125	0.0012048503561	Y	0.0	0.0	0.0102857948456	0.00592698414917	-0.795283179596	697.0	653.0	432.0	379.0	64350.0	66629.0	65809.0	70451.0	65074.0	69789.0
ENSG00000143418.14	0.000330363306414	Y	0.00124056469257	0.000750745592127	Y	1.84297022088e-14	4.76767514357e-11	0.0129552335602	0.00788667940053	-0.716045122679	455.0	452.0	290.0	254.0	36024.0	34838.0	34181.0	34600.0	34506.0	34361.0
ENSG00000138326.13	0.00131880587409	Y	0.00120786501002	0.00124139427355	Y	2.27595720048e-14	4.76767514357e-11	0.00847232008574	0.00548484635096	-0.627305889191	1032.0	1090.0	635.0	766.0	128389.0	123832.0	123433.0	125284.0	131065.0	126926.0
ENSG00000186834.2	0.000353925999271	Y	0.00127746697934	0.000843978418238	Y	1.57762691799e-13	2.75401072318e-10	0.0155273338709	0.00852200303538	-0.865545661785	256.0	300.0	170.0	146.0	18278.0	17974.0	17456.0	18577.0	18831.0	18274.0
ENSG00000166012.10	0.000799385849673	Y	0.00121942377437	0.000992486716949	Y	1.91291427143e-13	2.86226629699e-10	0.0100221461768	0.0153989051885	0.619636298402	448.0	466.0	735.0	693.0	47368.0	44145.0	45266.0	45534.0	47478.0	46053.0
ENSG00000100393.9	0.00126554230924	Y	0.00132523147403	0.00129591843855	Y	7.87925280576e-13	1.03159117359e-09	0.00812849972987	0.00407846066892	-0.994964360537	193.0	174.0	107.0	101.0	22653.0	21994.0	23173.0	26128.0	24156.0	26122.0
ENSG00000134287.4	0.000308781395337	Y	0.00124052836816	0.00092349053277	Y	1.0551559626e-12	1.22796706137e-09	0.0112979315131	0.00714604491389	-0.660841773743	483.0	414.0	249.0	307.0	40328.0	39185.0	39556.0	38268.0	39607.0	38699.0
ENSG00000138795.5	0.000119217219731	Y	0.00120709269724	0.000817126980169	Y	1.9794166306e-12	2.07324097889e-09	0.0117830332907	0.00822574396088	-0.518492906539	992.0	1146.0	763.0	745.0	92032.0	90426.0	89734.0	91645.0	91146.0	92206.0
ENSG00000149480.2	3.29644400373e-05	Y	0.00122138737946	0.000640709534227	Y	9.55324708229e-12	9.09642817636e-09	0.0116526590042	0.0079721777842	-0.54761341045	608.0	703.0	462.0	444.0	55986.0	56302.0	56367.0	56926.0	56197.0	57176.0
ENSG00000180730.3	0.000532457795289	Y	0.0014438554271	0.000997744297054	Y	2.66680011407e-11	2.3276720329e-08	0.00488934455267	0.00212120399714	-1.20475770364	95.0	116.0	40.0	61.0	21058.0	21966.0	21738.0	23720.0	24296.0	23115.0
ENSG00000108424.5	0.00118613877706	Y	0.00119686637222	0.00119113638369	Y	3.34647864975e-11	2.69623210596e-08	0.0119846383535	0.0085138421122	-0.49330413418	1898.0	2052.0	1512.0	1316.0	165757.0	162373.0	166294.0	162842.0	169015.0	166412.0
ENSG00000134954.9	0.00202828508536	Y	0.00122184736952	0.00147979074943	Y	1.63734803493e-10	1.22497023699e-07	0.00846414367463	0.00557338275456	-0.602810882142	646.0	647.0	397.0	498.0	76552.0	74621.0	77956.0	76572.0	82650.0	81584.0
ENSG00000090621.8	3.24274580291e-05	Y	0.00124203802199	0.000535548250458	Y	1.80776726921e-10	1.26230362518e-07	0.00812793830289	0.00552128046785	-0.557886562571	439.0	401.0	289.0	285.0	51667.0	52148.0	51257.0	51924.0	51678.0	52203.0
ENSG00000164088.13	6.64374795082e-06	Y	0.001961975695	0.00103912956995	Y	6.53249010441e-10	4.2763313346e-07	0.00247554523283	0.0105364684958	2.08957318505	14.0	6.0	36.0	48.0	4030.0	4164.0	4128.0	3921.0	3983.0	3985.0
